Season,NAT,Club_Name,TSR,STR,PDO,Pass_Success,Possesion,Team_Value,AGE,FPPsq,Country Score,Rating,Pts
199,1112,GER,Schalke 04,0.508788,0.563631,1068.76,0.783,0.504333,3.7,23.9,0.540540541,75.186,7.13,78.037
200,1112,GER,VfB Stuttgart,0.489603,0.507416,1063.424,0.773103,0.515517,3.18,24.3,0.5625,75.186,7,55.037
201,1112,GER,Hannover 96,0.46514,0.440274,1094.815,0.724,0.485,2.22,24.7,0.516129032,75.186,6.8,31.037
202,1112,GER,Werder Bremen,0.521629,0.469492,1004.137,0.77931,0.516207,3.3,23.3,0.447368421,75.186,7.02,73.037
203,1112,GER,Hamburger SV,0.465361,0.435831,989.3091,0.783,0.524667,2.87,23.1,0.638888889,75.186,6.84,71.037
204,1112,GER,Wolfsburg,0.499464,0.499749,924.9204,0.69931,0.448621,2.77,24.9,0.636363636,75.186,6.82,41.037
205,1112,GER,Hertha Berlin,0.420857,0.381207,912.9677,0.735357,0.442857,1.68,23.5,0.533333333,75.186,6.78,28.037
206,1112,GER,FC Nuernberg,0.539911,0.517221,793.042328,0.707333,0.463667,1.44,23.2,0.4,75.186,6.79,23.037
207,1112,GER,Mainz 05,0.5173,0.484343,941.8856,0.728966,0.484138,1.84,24.7,0.6,75.186,6.9,16.037
208,1213,GER,Bayern Munich,0.666481,0.721728,1140.262,0.872941,0.636176,14.55,24.5,0.464285714,79.614,7.31,146.922
209,1213,GER,Bayer Leverkusen,0.567547,0.630885,985.2718,0.779706,0.494118,3.62,22.8,0.3125,79.614,7.12,53.922
